>334, dA[0.031,0.112] dB[0.091,0.100] g[3.846,4.549]
>335, dA[0.033,0.019] dB[0.307,0.163] g[6.188,7.069]
>336, dA[0.055,0.059] dB[0.064,0.117] g[4.430,5.970]
>337, dA[0.089,0.038] dB[0.041,0.156] g[4.829,5.732]
>338, dA[0.264,0.183] dB[0.243,0.247] g[3.296,4.224]
>339, dA[0.104,0.117] dB[0.297,0.064] g[6.483,7.602]
>340, dA[0.188,0.247] dB[0.073,0.109] g[4.972,5.789]
>341, dA[0.109,0.090] dB[0.105,0.268] g[3.560,4.456]
>342, dA[0.060,0.187] dB[0.095,0.093] g[5.177,5.310]
>343, dA[0.131,0.117] dB[0.102,0.168] g[4.312,5.825]
>344, dA[0.156,0.077] dB[0.090,0.063] g[3.111,3.594]
>345, dA[0.048,0.112] dB[0.152,0.077] g[4.961,6.073]
>346, dA[0.028,0.063] dB[0.109,0.161] g[5.702,7.720]
>347, dA[0.223,0.104] dB[0.055,0.156] g[3.917,5.204]
>348, dA[0.081,0.105] dB[0.194,0.128] g[5.072,6.360]
>349, dA[0.062,0.099] dB[0.070,0.082] g[4.154,5.506]
>350, dA[0.183,0.185] dB[0.205,0.293] g[3.401,4.014]
>351, dA[0.057,0.131] dB[0.180,0.134] g[3.248,3.718]
>352, dA[0.350,0.211] dB[0.143,0.173] g[3.336,4.049]
>353, dA[0.062,0.176] dB[0.109,0.147] g[5.458,6.562]
>354, dA[0.126,0.096] dB[0.234,0.148] g[3.898,4.793]
>355, dA[0.056,0.111] dB[0.149,0.211] g[3.053,3.811]
>356, dA[0.038,0.122] dB[0.148,0.117] g[3.422,3.611]
>357, dA[0.183,0.297] dB[0.162,0.054] g[6.108,8.232]
>358, dA[0.244,0.107] dB[0.075,0.203] g[4.792,6.112]
>359, dA[0.244,0.236] dB[0.212,0.203] g[3.438,4.012]
>360, dA[0.116,0.033] dB[0.130,0.112] g[5.508,6.290]
>361, dA[0.025,0.086] dB[0.088,0.128] g[6.736,8.554]
>362, dA[0.258,0.151] dB[0.049,0.332] g[3.254,4.482]
>363, dA[0.056,0.064] dB[0.219,0.051] g[6.661,8.409]
>364, dA[0.141,0.076] dB[0.067,0.206] g[4.503,6.352]
>365, dA[0.125,0.141] dB[0.329,0.036] g[3.666,4.316]
>366, dA[0.091,0.057] dB[0.077,0.143] g[3.322,3.637]
>367, dA[0.087,0.050] dB[0.063,0.167] g[5.296,6.386]
>368, dA[0.047,0.042] dB[0.126,0.030] g[5.554,6.930]
>369, dA[0.140,0.123] dB[0.141,0.122] g[5.147,6.828]
>370, dA[0.125,0.097] dB[0.229,0.078] g[5.011,7.021]
>371, dA[0.049,0.130] dB[0.105,0.131] g[4.342,5.711]
>372, dA[0.300,0.250] dB[0.056,0.287] g[3.354,4.615]
>373, dA[0.022,0.053] dB[0.240,0.092] g[5.465,6.272]
>374, dA[0.087,0.020] dB[0.170,0.217] g[6.925,9.282]
>375, dA[0.033,0.069] dB[0.127,0.097] g[5.176,6.614]
>376, dA[0.094,0.049] dB[0.168,0.147] g[5.294,6.299]
>377, dA[0.020,0.033] dB[0.072,0.170] g[7.468,8.838]
>378, dA[0.196,0.123] dB[0.211,0.148] g[4.433,6.163]
